1353249260	153	164
1353249280	153	158
1353249520	153	164
1353249640	154	167
1353249720	149	155
1353249880	173	174
1353249900	170	171
1353249920	77	110
1353249940	150	164
1353249960	44	61
1353249980	151	164
1353249980	158	174
1353249980	44	61
1353249980	163	173
1353250000	156	158
1353250000	44	61
1353250000	163	173
1353250020	151	164
1353250040	44	61
1353250040	149	157
1353250040	163	173
1353250040	23	74
1353250040	151	164
1353250060	151	164
1353250060	149	157
1353250060	44	61
1353250060	163	173
1353250080	151	164
1353250080	163	173
1353250100	163	173
1353250120	62	70
1353250140	8	70
1353250140	30	33
1353250140	62	70
1353250140	163	173
1353250140	42	71
1353250160	62	70
1353250160	42	71
1353250180	163	173
1353250180	42	71
1353250200	23	74
1353250200	163	173
1353250200	42	71
1353250220	163	173
1353250220	42	71
1353250240	42	71
1353250260	8	21
1353250260	62	70
1353250260	42	71
1353250280	62	70
1353250280	30	33
1353250280	42	71
1353250300	62	70
1353250300	42	71
1353250320	8	21
1353250320	62	70
1353250320	42	71
1353250340	8	21
1353250340	62	70
1353250340	163	173
1353250340	42	71
1353250360	62	70
1353250360	163	173
1353250360	42	71
1353250380	62	70
1353250380	163	173
1353250400	163	173
1353250420	62	70
1353250440	62	70
1353250460	62	70
1353250480	62	70
1353250480	42	71
1353250500	62	70
1353250520	62	70
1353250540	62	70
1353250560	62	70
1353250580	62	70
1353250580	163	173
1353250600	62	70
1353250620	62	70
1353250620	163	173
1353250660	62	70
1353250680	62	70
1353250700	62	70
1353250720	62	70
1353250740	62	70
1353250740	42	71
1353250760	62	70
1353250760	42	71
1353250780	62	70
1353250820	62	70
1353250840	62	70
1353250920	30	33
1353250920	163	173
1353250940	62	70
1353250940	30	33
1353250960	62	70
1353250980	62	70
1353251040	62	70
1353251100	62	70
1353251100	164	171
1353251100	42	71
1353251120	62	70
1353251120	164	171
1353251120	42	71
1353251140	164	171
1353251140	42	71
1353251160	41	47
1353251160	62	70
1353251160	42	71
1353251180	62	70
1353251200	62	70
1353251200	164	171
1353251200	42	71
1353251220	62	70
1353251220	42	71
1353251240	62	70
1353251260	62	70
1353251260	42	71
1353251300	149	157
1353251320	14	47
1353251340	14	47
1353251340	11	45
1353251340	42	71
1353251360	42	71
1353251380	45	74
1353251380	70	74
1353251380	42	71
1353251380	11	74
1353251380	8	45
1353251400	8	21
1353251400	42	71
1353251420	153	174
1353251420	42	71
1353251440	14	47
1353251440	42	71
1353251440	11	45
1353251440	8	45
