4	DISQ
35	DISQ
75	DISQ
49	DISQ
25	DISQ
55	DISQ
74	DISQ
41	DISQ
86	DISQ
50	DISQ
87	DISQ
36	DISQ
52	DISQ
79	DISQ
48	DISQ
32	DSE
68	DSE
3	DSE
54	DSE
11	DSE
34	DSE
38	DSE
8	DSE
31	DSE
47	DSE
45	DSE
22	DSE
58	DSE
65	DSE
26	DSE
85	DSE
71	DSE
51	DSE
44	DSE
39	DSE
72	DSE
18	DSE
24	DSE
5	DSE
80	DSE
14	DSE
83	DSE
37	DSE
82	DSE
0	DSE
64	DSE
77	DSE
91	DSE
90	DSE
13	SFLE
43	SFLE
42	SFLE
19	SFLE
40	DMCT
89	DMCT
88	DMCT
33	DMCT
12	DMCT
2	DMCT
15	DMCT
6	DMCT
67	DMCT
16	DMCT
76	DMCT
10	DMCT
27	DMCT
1	DMCT
21	DMCT
78	DMCT
81	DMCT
17	DMCT
20	DMCT
60	DMCT
57	DMCT
46	DMCT
84	DMCT
59	DMCT
7	DMCT
56	DMCT
73	SRH
69	SRH
61	SRH
62	SRH
30	SRH
23	SRH
63	SRH
29	SRH
70	SRH
53	SRH
9	SRH
28	SRH
66	SRH
