70	ADM
30	ADM
62	ADM
63	ADM
68	ADM
27	ADM
0	ADM
18	ADM
69	MED
29	MED
34	MED
11	MED
8	MED
17	MED
14	MED
10	MED
13	MED
21	MED
15	MED
22	NUR
26	NUR
32	NUR
33	NUR
31	NUR
1	NUR
67	NUR
3	NUR
24	NUR
66	NUR
5	NUR
6	NUR
65	NUR
7	NUR
61	NUR
36	NUR
35	NUR
20	NUR
2	NUR
25	NUR
23	NUR
19	NUR
16	NUR
12	NUR
9	NUR
4	NUR
28	NUR
57	PAT
73	PAT
71	PAT
58	PAT
59	PAT
60	PAT
64	PAT
74	PAT
72	PAT
52	PAT
47	PAT
38	PAT
46	PAT
39	PAT
45	PAT
48	PAT
54	PAT
50	PAT
37	PAT
43	PAT
49	PAT
51	PAT
41	PAT
40	PAT
56	PAT
55	PAT
42	PAT
44	PAT
53	PAT
